case_id,round,company,series_id,series_label,point_type,period_label,year_before_correction,year_after_correction,year_correction_method,year,month_before_correction,month_after_correction,month,sales_oku_yen,page,pdf_url
s2_outline_132,4次,株式会社コハラ,s2_outline_132_sales_02,ロボットSIer事業,target,2030年度,2030,2030,existing_normalized_year,2030,,,,27,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_132.pdf
s2_outline_134,4次,池田薬品工業株式会社,s2_outline_134_sales_01,会社全体,target,2030年9月期,2030,2030,existing_normalized_year,2030,9,9,9,50.70996321,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_134.pdf
s2_outline_135,4次,株式会社リバイト,s2_outline_135_sales_01,合計,baseline,2025年2月期,2025,2025,existing_normalized_year,2025,2,2,2,11.2,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_135.pdf
s2_outline_135,4次,株式会社リバイト,s2_outline_135_sales_01,合計,target,2031年2月期,2031,2031,existing_normalized_year,2031,2,2,2,27.8,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_135.pdf
s2_outline_135,4次,株式会社リバイト,s2_outline_135_sales_02,住宅機器通販事業,baseline,,,,missing,,,,,8,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_135.pdf
s2_outline_135,4次,株式会社リバイト,s2_outline_135_sales_02,住宅機器通販事業,target,,,,missing,,,,,9,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_135.pdf
s2_outline_135,4次,株式会社リバイト,s2_outline_135_sales_03,リゾート事業,baseline,,,,missing,,,,,3.3,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_135.pdf
s2_outline_135,4次,株式会社リバイト,s2_outline_135_sales_03,リゾート事業,target,,,,missing,,,,,18.9,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_135.pdf
s2_outline_137,4次,株式会社　博多屋,s2_outline_137_sales_01,会社全体,target,2029年2月期,2029,2029,existing_normalized_year,2029,2,2,2,13.4,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_137.pdf
s2_outline_139,4次,株式会社エルス,s2_outline_139_sales_01,会社全体,target,2029年度,2029,2029,existing_normalized_year,2029,,,,108.84,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_139.pdf
s2_outline_14,3次,スギムラ化学工業株式会社,s2_outline_14_sales_01,会社全体,target,2031年度,2031,2031,existing_normalized_year,2031,,,,259,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_14.pdf
s2_outline_141,4次,古川電気工業株式会社,s2_outline_141_sales_01,コンソーシアム合計,baseline,2025年3月期,2025,2025,explicit_four_digit_year,2025,,,,77.48,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_141.pdf
s2_outline_141,4次,古川電気工業株式会社,s2_outline_141_sales_01,コンソーシアム合計,target,2032年3月,2032,2032,existing_normalized_year,2032,3,3,3,200,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_141.pdf
s2_outline_141,4次,古川電気工業株式会社,s2_outline_141_sales_02,古川電気工業（申請者）,baseline,2025年3月期,2025,2025,explicit_four_digit_year,2025,,,,65.18,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_141.pdf
s2_outline_141,4次,古川電気工業株式会社,s2_outline_141_sales_02,古川電気工業（申請者）,target,2032年3月期,2032,2032,existing_normalized_year,2032,3,3,3,165,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_141.pdf
s2_outline_141,4次,古川電気工業株式会社,s2_outline_141_sales_03,古川工業,baseline,2025年3月期,2025,2025,explicit_four_digit_year,2025,,,,12.3,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_141.pdf
s2_outline_141,4次,古川電気工業株式会社,s2_outline_141_sales_03,古川工業,target,2032年3月,2032,2032,existing_normalized_year,2032,3,3,3,35,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_141.pdf
s2_outline_145,4次,株式会社シャノワール,s2_outline_145_sales_01,会社全体,baseline,2025年3月期,2025,2025,existing_normalized_year,2025,3,3,3,16.86,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_145.pdf
s2_outline_145,4次,株式会社シャノワール,s2_outline_145_sales_01,会社全体,target,2031年3月期,2031,2031,existing_normalized_year,2031,3,3,3,50.91,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_145.pdf
