case_id,round,company,page,page_role,source_method,confidence,baseline_year,baseline_sales_oku,target_year,target_sales_oku,increase_oku,increase_target_year,stated_rate_pct,stated_rate_target_year,stated_rate_type,stated_cumulative_growth_pct,calculated_cagr_pct,reported_cagr_pct,multiple,validation_status,selection_score,raw,pdf_url
s2_outline_15,3次,賀谷セロファン株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,27.8,2030,17.1,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～2030年）
会社全体の売上成長目標（～XX年）
• 売上高成長率17.1％
• 売上高成長率XX％
• 売上高増加額27.8億円
• 売上高増加額XX億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_15.pdf
s2_outline_151,3次,株式会社清水インダストリ－,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,23,2030,159.5,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～2030年4月期）
• 売上高成長率159.5％
• 売上高増加額23億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_151.pdf
s2_outline_16,3次,株式会社ヤマキ,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,37.5,2030,75,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2030年度）
• 売上高成長率75％
• 売上高増加額37.5億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_16.pdf
s2_outline_17,3次,日生流通運輸倉庫株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2022,,2031,,53,2031,163,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
売上高(実績) 24/5期比 売上高成長率
売上高(見込)
163%
売上高(計画) 152%
139%
108%
（十億円） 100% 102% 101% 102%
13.8
14 12.9
11.8
12
9.2
10 8.2 8.5 8.6 8.6 8.7
7.8
8
6
4
22/5期 23/5期 24/5期 25/5期 26/5期 27/5期 28/5期 29/5期 30/5期 31/5期
長期成長ビジョンの実現に向け、’31/5期までに全社で以下成長を目指します
➢
売上高成長率163%、売上高増加額+53億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_17.pdf
s2_outline_173,3次,栄屋乳業株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,,129,2031,155,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（直近決算～2031年）
• 売上高成長率+155％
• 売上高増加額：129億円➨329億円 ＋200億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_173.pdf
s2_outline_18,3次,DOWAパワーデバイス株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,92,2030,246,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～2030年度）
• 売上高成長率246％
• 売上高増加額92億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_18.pdf
s2_outline_185,3次,三日月興業株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,,,11.7,,179,,売上高成長率（定義未確定）,,,,2.79,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2025/3～2030/3）
• 売上高成長率+179％（2.79倍）、売上高増加額11.7億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_185.pdf
s2_outline_186,3次,株式会社PXP,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,235,2030,,,,,,,333,Box内明記値確認済み（算術検算対象外）,127,"会社全体の売上成長目標（～2030年）
• 売上高成長率333倍（vs直前確定決算期）
• 売上高増加額235億円（同上）
※本件はR&Dフェーズから量産化に進む為の投資であり、既存数値と
比べて上昇幅は大きい",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_186.pdf
s2_outline_188,3次,株式会社ユビタス,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,159,2030,42,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～30年）
• 売上高成長率42％
• 売上高増加額159億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_188.pdf
s2_outline_19,3次,株式会社高木製作所,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,304,2030,168,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"会社全体の売上成⾧目標（2030年まで）
・売上高成⾧率 168%
・売上高増加額 304億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_19.pdf
s2_outline_190,3次,伊藤光学工業株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,,65.9,2031,103,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～31年度）
• 売上高成長率103％
• 売上高増加額65.9億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_190.pdf
s2_outline_197,3次,株式会社ファイン,1,長期成長ビジョン,sales_box_rectangle,high,,,,,127,,273,,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"会社全体の売上目標(直近期～2031/3期*） ㈱ファイン オール薬品工業㈱
売上高成長率 +273％ +678％
売上高増加額 +127億円 +44億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_197.pdf
