case_id,round,company,is_clean,current9_observed_n,current9_below_n,current9_below_share,current9_flag,directional8_no13_observed_n,directional8_no13_below_n,directional8_no13_below_share,directional8_no13_flag,without_no8_observed_n,without_no8_below_n,without_no8_below_share,without_no8_flag,without_no14_observed_n,without_no14_below_n,without_no14_below_share,without_no14_flag,old7_no8_no14_observed_n,old7_no8_no14_below_n,old7_no8_no14_below_share,old7_no8_no14_flag,no8_no13_no14_observed_n,no8_no13_no14_below_n,no8_no13_no14_below_share,no8_no13_no14_flag,direct_or_near_direct5_observed_n,direct_or_near_direct5_below_n,direct_or_near_direct5_below_share,direct_or_near_direct5_flag,direct_comparable3_observed_n,direct_comparable3_below_n,direct_comparable3_below_share,direct_comparable3_flag
s1_outline__184,2次,泉南乳業株式会社,False,8,2.0,0.25,False,7,1.0,0.14285714285714285,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s1_outline__189,2次,長﨑ジャッキ株式会社,False,8,2.0,0.25,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s1_outline_14,1次,日華化学株式会社,False,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,4,1.0,0.25,False,2,0.0,0.0,False
s1_outline_34,1次,株式会社柴田合成,True,8,2.0,0.25,False,7,1.0,0.14285714285714285,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,4,0.0,0.0,False,3,0.0,0.0,False
s1_outline_88,1次,株式会社創味食品,True,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline_107,1次,株式会社ササキ,False,8,2.0,0.25,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s1_outline_116,2次,株式会社かねふくめんたいパーク,False,8,4.0,0.5,False,7,3.0,0.42857142857142855,False,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,4.0,0.6666666666666666,True,5,3.0,0.6,True,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline_127,2次,株式会社ユニワールド,True,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline_152,2次,ヤマトミシン製造株式会社,True,8,4.0,0.5,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,7,4.0,0.5714285714285714,False,6,3.0,0.5,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s2_outline_5,3次,奥長良川名水株式会社,False,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_94,3次,株式会社富士カーボン製造所,True,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s2_outline_119,4次,株式会社群馬コイケ,True,8,2.0,0.25,False,7,2.0,0.2857142857142857,False,7,1.0,0.14285714285714285,False,7,2.0,0.2857142857142857,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,4,1.0,0.25,False,2,0.0,0.0,False
s2_outline_148,4次,丹羽鋳造株式会社,True,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s2_outline_151,3次,株式会社清水インダストリ－,False,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_209,3次,株式会社ファーストダウン,True,8,4.0,0.5,False,7,3.0,0.42857142857142855,False,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,4.0,0.6666666666666666,True,5,3.0,0.6,True,4,3.0,0.75,True,3,3.0,1.0,True
s2_outline_214,3次,株式会社 八天堂,True,8,2.0,0.25,False,7,1.0,0.14285714285714285,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s2_outline_223,4次,三ッ和商事株式会社,False,8,0.0,0.0,False,7,0.0,0.0,False,7,0.0,0.0,False,7,0.0,0.0,False,6,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s1_outline__197,2次,株式会社福山臨床検査センター,True,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline__206,2次,上山製紙株式会社,True,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
