case_id,company,round_original,application_round,round_changed,old_core29,new_core28,membership_change
s2_outline_98,ホーコス株式会社,3次,3次,False,False,False,unchanged
s2_outline_123,東洋ケアサービス株式会社,3次,3次,False,False,False,unchanged
s2_outline_188,株式会社ユビタス,3次,3次,False,False,False,unchanged
s2_outline_201,ハムリー株式会社,4次,4次,False,False,False,unchanged
s2_outline_207,ロートニッテン株式会社,4次,4次,False,False,False,unchanged
s2_outline_213,ファインプラス株式会社,4次,4次,False,False,False,unchanged
s2_outline_226,日本海精錬株式会社,4次,4次,False,False,False,unchanged
s1_outline_7,株式会社ＭＡＲＵＷＡ,1次,1次,False,False,False,unchanged
s1_outline_9,株式会社Pale Blue,1次,1次,False,False,False,unchanged
s1_outline_169,サトウ食品株式会社,1次,2次,True,False,False,unchanged
s1_outline_87,トーカロ株式会社,1次,1次,False,False,False,unchanged
s1_outline_149,株式会社共同物流サービス,1次,2次,True,False,False,unchanged
s1_outline_150,三笠産業株式会社,1次,2次,True,False,False,unchanged
s2_outline_90,有価物回収協業組合　石坂グループ,3次,3次,False,False,False,unchanged
s2_outline_125,株式会社タンケンシールセーコウ,4次,4次,False,False,False,unchanged
s2_outline_166,株式会社新潟食品運輸,4次,4次,False,False,False,unchanged
s1_outline_29,株式会社三和テスコ,1次,1次,False,False,False,unchanged
s2_outline_2,ガイア株式会社,3次,3次,False,False,False,unchanged
s2_outline_31,アトム株式会社,3次,3次,False,False,False,unchanged
s2_outline_117,瀬戸内海印刷株式会社,4次,4次,False,False,False,unchanged
s2_outline_118,株式会社光洋,4次,4次,False,False,False,unchanged
s2_outline_133,株式会社ユタカ,4次,4次,False,False,False,unchanged
s2_outline_138,株式会社ジーケーエス,4次,4次,False,False,False,unchanged
s2_outline_146,セーレンアドバンストマテリアルズ株式会社,4次,4次,False,False,False,unchanged
s2_outline_162,三恵株式会社,4次,4次,False,False,False,unchanged
s2_outline_170,鈴木鉄工株式会社,4次,4次,False,False,False,unchanged
s2_outline_180,株式会社森田あられ,4次,4次,False,False,False,unchanged
s2_outline_202,東海デキストリン株式会社,4次,4次,False,False,False,unchanged
s2_outline_211,アサヒプリテック株式会社,4次,4次,False,False,False,unchanged
s1_outline_38,テラル株式会社,1次,1次,False,False,False,unchanged
s1_outline_73,株式会社大昌鉄工所,1次,1次,False,False,False,unchanged
s2_outline_6,株式会社上野凮月堂,3次,3次,False,False,False,unchanged
s2_outline_78,株式会社宮古島の雪塩,3次,3次,False,False,False,unchanged
s2_outline_177,八光エルアール株式会社,4次,4次,False,False,False,unchanged
s1_outline_55,株式会社コーヨークリエイト,1次,1次,False,False,False,unchanged
s1_outline_56,高知通運株式会社,1次,1次,False,False,False,unchanged
s1_outline_105,中外医薬生産株式会社,1次,1次,False,False,False,unchanged
s1_outline__191,株式会社カナイ,2次,2次,False,False,False,unchanged
s1_outline_1,株式会社岩崎電機製作所,1次,1次,False,False,False,unchanged
s1_outline_5,大森機械工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_10,株式会社プレジィール,1次,1次,False,False,False,unchanged
s1_outline_21,株式会社くまさんメディクス,1次,1次,False,False,False,unchanged
s1_outline_48,SINGS株式会社,1次,1次,False,False,False,unchanged
