case_id,round,company,metric_no,metric_label,company_value,applicant_median,relative_gap_below_benchmark,absolute_relative_gap_lt_1pct,absolute_relative_gap_lt_5pct,absolute_relative_gap_lt_10pct,primary_core28
s1_outline_52,1次,株式会社平島,2,全社売上高増加額,45.0,19.5,-1.3076923076923077,False,False,False,False
s1_outline_53,1次,マルコーフーズ株式会社,2,全社売上高増加額,30.0,19.5,-0.5384615384615384,False,False,False,False
s2_outline_195,4次,株式会社レクザム,2,全社売上高増加額,100.0,38.5,-1.5974025974025974,False,False,False,True
s2_outline_27,3次,株式会社ライト製作所,2,全社売上高増加額,84.0,42.2,-0.9905213270142179,False,False,False,False
s1_outline_70,1次,協和工業株式会社,2,全社売上高増加額,25.0,19.5,-0.28205128205128205,False,False,False,False
s1_outline_76,1次,安田工業株式会社,2,全社売上高増加額,25.0,19.5,-0.28205128205128205,False,False,False,False
s2_outline_134,4次,池田薬品工業株式会社,2,全社売上高増加額,36.99,38.5,0.03922077922077917,False,True,True,False
s2_outline_135,4次,株式会社リバイト,2,全社売上高増加額,16.6,38.5,0.5688311688311688,False,False,False,False
s2_outline_136,4次,木本製菓株式会社,2,全社売上高増加額,11.37,38.5,0.7046753246753248,False,False,False,False
s2_outline_168,4次,明和工業株式会社,2,全社売上高増加額,168.4,38.5,-3.374025974025974,False,False,False,True
s2_outline_175,4次,化成工業株式会社,2,全社売上高増加額,56.1,38.5,-0.4571428571428572,False,False,False,False
s2_outline_221,4次,株式会社ニシムタ,2,全社売上高増加額,146.7,38.5,-2.81038961038961,False,False,False,True
s1_outline_31,1次,鎌長製衡株式会社,2,全社売上高増加額,34.0,19.5,-0.7435897435897436,False,False,False,False
s1_outline_78,1次,環境のミカタ株式会社,2,全社売上高増加額,27.5,19.5,-0.41025641025641024,False,False,False,False
s2_outline_44,3次,株式会社アヤボ,2,全社売上高増加額,16.0,42.2,0.6208530805687204,False,False,False,False
s2_outline_115,4次,株式会社コスモス食品,2,全社売上高増加額,37.06,38.5,0.03740259740259734,False,True,True,True
s2_outline_121,4次,株式会社ヤマキ食品,2,全社売上高増加額,24.39,38.5,0.3664935064935065,False,False,False,True
s2_outline_159,4次,株式会社　ファーストライン,2,全社売上高増加額,10.6,38.5,0.7246753246753246,False,False,False,True
s2_outline_210,4次,南島酒販株式会社,2,全社売上高増加額,75.0,38.5,-0.948051948051948,False,False,False,True
s1_outline__190,2次,株式会社GOTENリゾート,2,全社売上高増加額,17.5,23.1,0.24242424242424246,False,False,False,False
s1_outline_32,1次,オリヒロエンジニアリング株式会社,2,全社売上高増加額,37.0,19.5,-0.8974358974358975,False,False,False,False
s1_outline_41,1次,株式会社ビッグハウス,2,全社売上高増加額,14.0,19.5,0.28205128205128205,False,False,False,False
s1_outline_75,1次,株式会社伝食,2,全社売上高増加額,80.6,19.5,-3.133333333333333,False,False,False,False
